Tabela: 1, Linha: 0, Coluna: 0
Tabela: 1, Linha: 0, Coluna: 2
Tabela: 2, Linha: 8, Coluna: 6
Tabela: 3, Linha: 4, Coluna: 11
Tabela: 3, Linha: 5, Coluna: 0
Tabela: 3, Linha: 5, Coluna: 1
Tabela: 3, Linha: 5, Coluna: 2
Tabela: 3, Linha: 5, Coluna: 3
Tabela: 3, Linha: 5, Coluna: 4
Tabela: 3, Linha: 5, Coluna: 5
Tabela: 3, Linha: 5, Coluna: 6
Tabela: 3, Linha: 5, Coluna: 7
Tabela: 3, Linha: 5, Coluna: 8
Tabela: 3, Linha: 5, Coluna: 9
Tabela: 3, Linha: 5, Coluna: 10
Tabela: 3, Linha: 5, Coluna: 11
Tabela: 3, Linha: 6, Coluna: 0
Tabela: 3, Linha: 6, Coluna: 1
Tabela: 3, Linha: 6, Coluna: 2
Tabela: 3, Linha: 6, Coluna: 3
Tabela: 3, Linha: 6, Coluna: 4
Tabela: 3, Linha: 6, Coluna: 5
Tabela: 3, Linha: 6, Coluna: 6
Tabela: 3, Linha: 6, Coluna: 7
Tabela: 3, Linha: 6, Coluna: 8
Tabela: 3, Linha: 6, Coluna: 9
Tabela: 3, Linha: 6, Coluna: 10
Tabela: 3, Linha: 6, Coluna: 11
Tabela: 3, Linha: 7, Coluna: 0
Tabela: 3, Linha: 7, Coluna: 1
Tabela: 3, Linha: 7, Coluna: 2
Tabela: 3, Linha: 7, Coluna: 3
Tabela: 3, Linha: 7, Coluna: 4
Tabela: 3, Linha: 7, Coluna: 5
Tabela: 3, Linha: 7, Coluna: 6
Tabela: 3, Linha: 7, Coluna: 7
Tabela: 3, Linha: 7, Coluna: 8
Tabela: 3, Linha: 7, Coluna: 9
Tabela: 3, Linha: 7, Coluna: 10
Tabela: 3, Linha: 7, Coluna: 11
Tabela: 3, Linha: 8, Coluna: 0
Tabela: 3, Linha: 8, Coluna: 1
Tabela: 3, Linha: 8, Coluna: 2
Tabela: 3, Linha: 8, Coluna: 3
Tabela: 3, Linha: 8, Coluna: 4
Tabela: 3, Linha: 8, Coluna: 5
Tabela: 3, Linha: 8, Coluna: 6
Tabela: 3, Linha: 8, Coluna: 7
Tabela: 3, Linha: 8, Coluna: 8
Tabela: 3, Linha: 8, Coluna: 9
Tabela: 3, Linha: 8, Coluna: 10
Tabela: 3, Linha: 8, Coluna: 11
Tabela: 3, Linha: 9, Coluna: 11
Tabela: 3, Linha: 10, Coluna: 0
Tabela: 3, Linha: 10, Coluna: 1
Tabela: 3, Linha: 10, Coluna: 2
Tabela: 3, Linha: 10, Coluna: 3
Tabela: 3, Linha: 10, Coluna: 4
Tabela: 3, Linha: 10, Coluna: 5
Tabela: 3, Linha: 10, Coluna: 6
Tabela: 3, Linha: 10, Coluna: 7
Tabela: 3, Linha: 10, Coluna: 8
Tabela: 3, Linha: 10, Coluna: 9
Tabela: 3, Linha: 10, Coluna: 10
Tabela: 3, Linha: 10, Coluna: 11
Tabela: 3, Linha: 11, Coluna: 0
Tabela: 3, Linha: 11, Coluna: 1
Tabela: 3, Linha: 11, Coluna: 2
Tabela: 3, Linha: 11, Coluna: 3
Tabela: 3, Linha: 11, Coluna: 4
Tabela: 3, Linha: 11, Coluna: 5
Tabela: 3, Linha: 11, Coluna: 6
Tabela: 3, Linha: 11, Coluna: 7
Tabela: 3, Linha: 11, Coluna: 8
Tabela: 3, Linha: 11, Coluna: 9
Tabela: 3, Linha: 11, Coluna: 10
Tabela: 3, Linha: 11, Coluna: 11
Tabela: 3, Linha: 12, Coluna: 0
Tabela: 3, Linha: 12, Coluna: 1
Tabela: 3, Linha: 12, Coluna: 2
Tabela: 3, Linha: 12, Coluna: 3
Tabela: 3, Linha: 12, Coluna: 4
Tabela: 3, Linha: 12, Coluna: 5
Tabela: 3, Linha: 12, Coluna: 6
Tabela: 3, Linha: 12, Coluna: 7
Tabela: 3, Linha: 12, Coluna: 8
Tabela: 3, Linha: 12, Coluna: 9
Tabela: 3, Linha: 12, Coluna: 10
Tabela: 3, Linha: 12, Coluna: 11
Tabela: 3, Linha: 13, Coluna: 0
Tabela: 3, Linha: 13, Coluna: 1
Tabela: 3, Linha: 13, Coluna: 2
Tabela: 3, Linha: 13, Coluna: 3
Tabela: 3, Linha: 13, Coluna: 4
Tabela: 3, Linha: 13, Coluna: 5
Tabela: 3, Linha: 13, Coluna: 6
Tabela: 3, Linha: 13, Coluna: 7
Tabela: 3, Linha: 13, Coluna: 8
Tabela: 3, Linha: 13, Coluna: 9
Tabela: 3, Linha: 13, Coluna: 10
Tabela: 3, Linha: 13, Coluna: 11
Tabela: 4, Linha: 3, Coluna: 1
Tabela: 4, Linha: 3, Coluna: 2
Tabela: 4, Linha: 3, Coluna: 3
Tabela: 4, Linha: 4, Coluna: 1
Tabela: 4, Linha: 4, Coluna: 2
Tabela: 4, Linha: 4, Coluna: 3
Tabela: 5, Linha: 3, Coluna: 1
Tabela: 5, Linha: 3, Coluna: 2
Tabela: 5, Linha: 3, Coluna: 3
Tabela: 5, Linha: 4, Coluna: 1
Tabela: 5, Linha: 4, Coluna: 2
Tabela: 5, Linha: 4, Coluna: 3
Tabela: 6, Linha: 3, Coluna: 1
Tabela: 6, Linha: 3, Coluna: 2
