Tabela: <docx.table.Table object at 0x00000289DA5139E0>, Linha: 0, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA5139E0>, Linha: 0, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA5139E0>, Linha: 0, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 0, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 0, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 0, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 0, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 0, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 0, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 0, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 1, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 1, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 1, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 1, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 1, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 1, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 1, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 2, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 2, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 2, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 2, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 2, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 2, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 2, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 3, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 3, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 3, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 3, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 3, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 3, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 3, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 4, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 4, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 4, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 4, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 4, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA5138F0>, Linha: 4, Coluna: 5
